method,episode,env_idx,steps,ep_return,success,safety_violations,failures_detected,recoveries_attempted,recoveries_succeeded,time_to_recover,planning_ms,wall_clock_s
random,0,0,58,-4.6568827629089355,0,0,0,0,0,-1.0,0.0,4.744539999985136
random,0,1,81,-5.1164140701293945,0,0,0,0,0,-1.0,0.0,4.744539999985136
random,0,2,48,-4.711906433105469,0,0,0,0,0,-1.0,0.0,4.744539999985136
random,0,3,48,-4.783103942871094,0,0,0,0,0,-1.0,0.0,4.744539999985136
random,0,4,42,-4.7975006103515625,0,0,0,0,0,-1.0,0.0,4.744539999985136
random,0,5,60,-4.530134201049805,0,0,0,0,0,-1.0,0.0,4.744539999985136
random,0,6,50,-4.906246662139893,0,0,0,0,0,-1.0,0.0,4.744539999985136
random,0,7,40,-4.855237007141113,0,0,0,0,0,-1.0,0.0,4.744539999985136
random,0,8,43,-4.659030437469482,0,0,0,0,0,-1.0,0.0,4.744539999985136
random,0,9,42,-4.769502639770508,0,0,0,0,0,-1.0,0.0,4.744539999985136
random,0,10,52,-4.83588981628418,0,0,0,0,0,-1.0,0.0,4.744539999985136
random,0,11,49,-5.074537754058838,0,0,0,0,0,-1.0,0.0,4.744539999985136
random,0,12,53,-5.074184894561768,0,0,0,0,0,-1.0,0.0,4.744539999985136
random,0,13,45,-4.746214866638184,0,0,0,0,0,-1.0,0.0,4.744539999985136
random,0,14,48,-4.692659378051758,0,0,0,0,0,-1.0,0.0,4.744539999985136
random,0,15,50,-5.119320392608643,0,0,0,0,0,-1.0,0.0,4.744539999985136
random,1,0,48,-4.828913688659668,0,0,0,0,0,-1.0,0.0,4.024168599979021
random,1,1,35,-4.527822971343994,0,0,0,0,0,-1.0,0.0,4.024168599979021
random,1,2,46,-4.820896625518799,0,0,0,0,0,-1.0,0.0,4.024168599979021
random,1,3,37,-4.716829776763916,0,0,0,0,0,-1.0,0.0,4.024168599979021
random,1,4,45,-4.711472034454346,0,0,0,0,0,-1.0,0.0,4.024168599979021
random,1,5,43,-4.740887641906738,0,0,0,0,0,-1.0,0.0,4.024168599979021
random,1,6,45,-5.024204254150391,0,0,0,0,0,-1.0,0.0,4.024168599979021
random,1,7,59,-5.034534931182861,0,0,0,0,0,-1.0,0.0,4.024168599979021
random,1,8,46,-4.615810871124268,0,0,0,0,0,-1.0,0.0,4.024168599979021
random,1,9,52,-4.978503704071045,0,0,0,0,0,-1.0,0.0,4.024168599979021
random,1,10,54,-4.601853370666504,0,0,0,0,0,-1.0,0.0,4.024168599979021
random,1,11,43,-4.766765117645264,0,0,0,0,0,-1.0,0.0,4.024168599979021
random,1,12,43,-4.786381244659424,0,0,0,0,0,-1.0,0.0,4.024168599979021
random,1,13,54,-5.020063400268555,0,0,0,0,0,-1.0,0.0,4.024168599979021
random,1,14,49,-4.884785175323486,0,0,0,0,0,-1.0,0.0,4.024168599979021
random,1,15,56,-4.913216590881348,0,0,0,0,0,-1.0,0.0,4.024168599979021
random,2,0,49,-4.852756500244141,0,0,0,0,0,-1.0,0.0,5.817142600018997
random,2,1,45,-4.683740615844727,0,0,0,0,0,-1.0,0.0,5.817142600018997
random,2,2,36,-4.825253486633301,0,0,0,0,0,-1.0,0.0,5.817142600018997
random,2,3,46,-4.673953533172607,0,0,0,0,0,-1.0,0.0,5.817142600018997
random,2,4,51,-4.926027297973633,0,0,0,0,0,-1.0,0.0,5.817142600018997
random,2,5,46,-4.705386638641357,0,0,0,0,0,-1.0,0.0,5.817142600018997
random,2,6,41,-4.7840256690979,0,0,0,0,0,-1.0,0.0,5.817142600018997
random,2,7,50,-4.905243396759033,0,0,0,0,0,-1.0,0.0,5.817142600018997
random,2,8,44,-4.640310287475586,0,0,0,0,0,-1.0,0.0,5.817142600018997
random,2,9,81,-5.461273670196533,0,0,0,0,0,-1.0,0.0,5.817142600018997
random,2,10,40,-4.620593070983887,0,0,0,0,0,-1.0,0.0,5.817142600018997
random,2,11,47,-4.852080345153809,0,0,0,0,0,-1.0,0.0,5.817142600018997
random,2,12,53,-5.108748912811279,0,0,0,0,0,-1.0,0.0,5.817142600018997
random,2,13,57,-4.931003093719482,0,0,0,0,0,-1.0,0.0,5.817142600018997
random,2,14,43,-4.822264671325684,0,0,0,0,0,-1.0,0.0,5.817142600018997
random,2,15,45,-4.4909467697143555,0,0,0,0,0,-1.0,0.0,5.817142600018997
mppi,0,0,63,-3.379748582839966,0,0,0,0,0,-1.0,5.706529994495213,2.9005050999694504
mppi,0,1,60,-3.447648048400879,0,0,0,0,0,-1.0,5.706529994495213,2.9005050999694504
mppi,0,2,61,-3.3776071071624756,0,0,0,0,0,-1.0,5.706529994495213,2.9005050999694504
