method,seed,ood_level,episode,steps,ep_return,success,failures_detected,recoveries_attempted,recoveries_succeeded,safety_violations,time_to_recover,planning_ms
random,0,0.0,0,58,-61.980506707983515,0,0,0,0,0,-1.0,0.0
random,0,0.0,1,38,-76.343554948084,0,0,0,0,0,-1.0,0.0
random,0,0.0,2,41,-79.42486755647897,0,0,0,0,0,-1.0,0.0
random,0,0.0,3,43,-70.60837638775494,0,0,0,0,0,-1.0,0.0
random,0,0.0,4,68,-63.76754335274987,0,0,0,0,0,-1.0,0.0
random,0,0.0,5,46,-76.48545464130243,0,0,0,0,0,-1.0,0.0
random,0,0.0,6,36,-75.02227219441423,0,0,0,0,0,-1.0,0.0
random,0,0.0,7,51,-15.029976577554677,0,0,0,0,0,-1.0,0.0
random,0,0.0,8,36,-74.82093394411942,0,0,0,0,0,-1.0,0.0
random,0,0.0,9,43,20.065511806318824,0,0,0,0,0,-1.0,0.0
random,0,0.5,0,52,-65.59175670105606,0,0,0,0,0,-1.0,0.0
random,0,0.5,1,36,-77.15312230286104,0,0,0,0,0,-1.0,0.0
random,0,0.5,2,38,-81.4549866484492,0,0,0,0,0,-1.0,0.0
random,0,0.5,3,57,-58.78377466970772,0,0,0,0,0,-1.0,0.0
random,0,0.5,4,51,-75.55800948900253,0,0,0,0,0,-1.0,0.0
random,0,0.5,5,39,-81.96531158894746,0,0,0,0,0,-1.0,0.0
random,0,0.5,6,23,-85.31506937953533,0,0,0,0,0,-1.0,0.0
random,0,0.5,7,35,-74.40230304102823,0,0,0,0,0,-1.0,0.0
random,0,0.5,8,36,-72.48222744973076,0,0,0,0,0,-1.0,0.0
random,0,0.5,9,58,-52.21033112131787,0,0,0,0,0,-1.0,0.0
random,0,1.0,0,51,-66.73898238891924,0,0,0,0,0,-1.0,0.0
random,0,1.0,1,32,-79.7361747161748,0,0,0,0,0,-1.0,0.0
random,0,1.0,2,37,-81.66665645514107,0,0,0,0,0,-1.0,0.0
random,0,1.0,3,65,-54.21444078173805,0,0,0,0,0,-1.0,0.0
random,0,1.0,4,46,-76.08248542693207,0,0,0,0,0,-1.0,0.0
random,0,1.0,5,34,-83.37175750333105,0,0,0,0,0,-1.0,0.0
random,0,1.0,6,41,-70.53804885242903,0,0,0,0,0,-1.0,0.0
random,0,1.0,7,63,-45.8335357216723,0,0,0,0,0,-1.0,0.0
random,0,1.0,8,38,-72.03464339238353,0,0,0,0,0,-1.0,0.0
random,0,1.0,9,20,-84.57678722448543,0,0,0,0,0,-1.0,0.0
random,1,0.0,0,48,-68.71920303113717,0,0,0,0,0,-1.0,0.0
random,1,0.0,1,42,-67.24764008914232,0,0,0,0,0,-1.0,0.0
random,1,0.0,2,35,-79.52085140216913,0,0,0,0,0,-1.0,0.0
random,1,0.0,3,43,-68.90086048572597,0,0,0,0,0,-1.0,0.0
random,1,0.0,4,67,-66.35333747078283,0,0,0,0,0,-1.0,0.0
random,1,0.0,5,40,-76.89434040854186,0,0,0,0,0,-1.0,0.0
random,1,0.0,6,43,-65.63793988604606,0,0,0,0,0,-1.0,0.0
random,1,0.0,7,24,-35.32421222620012,0,0,0,0,0,-1.0,0.0
random,1,0.0,8,37,-70.99358602315921,0,0,0,0,0,-1.0,0.0
random,1,0.0,9,37,14.37918411606158,0,0,0,0,0,-1.0,0.0
random,1,0.5,0,45,-70.87540072173871,0,0,0,0,0,-1.0,0.0
random,1,0.5,1,38,-70.79538242762071,0,0,0,0,0,-1.0,0.0
random,1,0.5,2,29,-82.77568549591442,0,0,0,0,0,-1.0,0.0
random,1,0.5,3,56,-58.33758829392207,0,0,0,0,0,-1.0,0.0
random,1,0.5,4,57,-71.01475634906767,0,0,0,0,0,-1.0,0.0
random,1,0.5,5,34,-81.39160216741726,0,0,0,0,0,-1.0,0.0
random,1,0.5,6,40,-67.58433436179456,0,0,0,0,0,-1.0,0.0
random,1,0.5,7,38,-25.016649775615875,0,0,0,0,0,-1.0,0.0
random,1,0.5,8,40,-68.3882507104488,0,0,0,0,0,-1.0,0.0
random,1,0.5,9,25,9.014374598010122,0,0,0,0,0,-1.0,0.0
random,1,1.0,0,45,-71.40152672174437,0,0,0,0,0,-1.0,0.0
random,1,1.0,1,37,-71.58419828288683,0,0,0,0,0,-1.0,0.0
random,1,1.0,2,31,-81.45238780791314,0,0,0,0,0,-1.0,0.0
random,1,1.0,3,52,-64.19822517014347,0,0,0,0,0,-1.0,0.0
random,1,1.0,4,48,-76.79711741970576,0,0,0,0,0,-1.0,0.0
random,1,1.0,5,37,-79.58364717715216,0,0,0,0,0,-1.0,0.0
random,1,1.0,6,28,-78.12451318246589,0,0,0,0,0,-1.0,0.0
random,1,1.0,7,35,-28.722336724756758,0,0,0,0,0,-1.0,0.0
random,1,1.0,8,28,-78.33353212037326,0,0,0,0,0,-1.0,0.0
random,1,1.0,9,49,-60.408434568205365,0,0,0,0,0,-1.0,0.0
random,2,0.0,0,41,-72.17540695118103,0,0,0,0,0,-1.0,0.0
random,2,0.0,1,54,-59.09782539881623,0,0,0,0,0,-1.0,0.0
random,2,0.0,2,32,-81.73216342274551,0,0,0,0,0,-1.0,0.0
random,2,0.0,3,39,-74.56326912529163,0,0,0,0,0,-1.0,0.0
random,2,0.0,4,39,-82.94133613123296,0,0,0,0,0,-1.0,0.0
random,2,0.0,5,70,-56.47936537567577,0,0,0,0,0,-1.0,0.0
random,2,0.0,6,42,-66.33417147089469,0,0,0,0,0,-1.0,0.0
random,2,0.0,7,52,-57.79809201304897,0,0,0,0,0,-1.0,0.0
random,2,0.0,8,62,-50.40059568247131,0,0,0,0,0,-1.0,0.0
random,2,0.0,9,45,19.93477147753093,0,0,0,0,0,-1.0,0.0
random,2,0.5,0,44,-70.31011389899189,0,0,0,0,0,-1.0,0.0
random,2,0.5,1,49,-64.35186990126046,0,0,0,0,0,-1.0,0.0
random,2,0.5,2,26,-85.01739785280787,0,0,0,0,0,-1.0,0.0
random,2,0.5,3,53,-63.415639222842486,0,0,0,0,0,-1.0,0.0
random,2,0.5,4,41,-81.67262215483737,0,0,0,0,0,-1.0,0.0
random,2,0.5,5,47,-72.93146543976027,0,0,0,0,0,-1.0,0.0
random,2,0.5,6,31,-75.20253968552518,0,0,0,0,0,-1.0,0.0
random,2,0.5,7,51,-20.573734248362754,0,0,0,0,0,-1.0,0.0
random,2,0.5,8,32,-75.88904177454737,0,0,0,0,0,-1.0,0.0
random,2,0.5,9,28,10.233289211713398,0,0,0,0,0,-1.0,0.0
random,2,1.0,0,46,-68.63312804685447,0,0,0,0,0,-1.0,0.0
random,2,1.0,1,44,-68.4492961377299,0,0,0,0,0,-1.0,0.0
random,2,1.0,2,29,-82.75252534999352,0,0,0,0,0,-1.0,0.0
random,2,1.0,3,47,-68.21020454758755,0,0,0,0,0,-1.0,0.0
random,2,1.0,4,31,-86.24334320295166,0,0,0,0,0,-1.0,0.0
random,2,1.0,5,54,-69.88595047901606,0,0,0,0,0,-1.0,0.0
random,2,1.0,6,32,-74.6296567646606,0,0,0,0,0,-1.0,0.0
